train loss
['train loss: 0.07501856344658243']
['train loss: 0.07068589280354812']
['train loss: 0.07013606783047581']
['train loss: 0.06964121918467447']
['train loss: 0.06916876204661651']
['train loss: 0.0686969270289638']
['train loss: 0.06822218290636511']
['train loss: 0.06768464746737834']
['train loss: 0.0670202578300058']
['train loss: 0.06634320732096016']
['train loss: 0.06548138758835609']
['train loss: 0.06463498865850521']
['train loss: 0.06410799283146362']
['train loss: 0.06373876575687358']
['train loss: 0.06410985768931896']
['train loss: 0.06379457750394248']
['train loss: 0.06272929647798098']
['train loss: 0.062359783727946594']
['train loss: 0.06246780167824779']
['train loss: 0.062338397901376415']
['train loss: 0.06217113960353219']
['train loss: 0.061883246637949293']
['train loss: 0.061728772476065605']
['train loss: 0.061531012831972744']
['train loss: 0.06168430671565248']
['train loss: 0.06161435748337039']
['train loss: 0.06141525270850975']
['train loss: 0.06229217434058031']
['train loss: 0.06152267402913903']
['train loss: 0.06111588699591212']
['train loss: 0.061256329066052224']
['train loss: 0.061042210078338516']
['train loss: 0.060919026359400184']
['train loss: 0.06080597778245485']
['train loss: 0.06097201328324786']
['train loss: 0.060855618397962545']
['train loss: 0.060795638226859135']
['train loss: 0.06083466130585754']
['train loss: 0.06067952984996146']
['train loss: 0.0609462221603712']
['train loss: 0.06070343915810254']
['train loss: 0.06067239187106697']
['train loss: 0.06057151305206491']
