train loss
['train loss: 0.07444486723430696']
['train loss: 0.0702532403327765']
['train loss: 0.06938822095712413']
['train loss: 0.06851928756537391']
['train loss: 0.06730271389508388']
['train loss: 0.06586693197372312']
['train loss: 0.06466113731527952']
['train loss: 0.06376748537449703']
['train loss: 0.06312757064848455']
['train loss: 0.0626657102006799']
['train loss: 0.06233282492043132']
['train loss: 0.0620731833820205']
['train loss: 0.061858028725443354']
['train loss: 0.06166623567230533']
['train loss: 0.061499163007335836']
['train loss: 0.06134761789693003']
['train loss: 0.061218322971229346']
['train loss: 0.061106801553765855']
['train loss: 0.06100329549374695']
['train loss: 0.06091406133499445']
['train loss: 0.06082713328462714']
['train loss: 0.06074379975299492']
['train loss: 0.060668208641775655']
['train loss: 0.06059181386729958']
['train loss: 0.06052308626489292']
['train loss: 0.06045832328986879']
['train loss: 0.06039705918941213']
['train loss: 0.06034313616970098']
['train loss: 0.060287233271414636']
['train loss: 0.06026451144490807']
['train loss: 0.06020012855347232']
['train loss: 0.0601709487858665']
['train loss: 0.06011017154784919']
['train loss: 0.060072518450732214']
['train loss: 0.06003735087670641']
['train loss: 0.06001482074238984']
['train loss: 0.05997933143485254']
['train loss: 0.059950275992118225']
['train loss: 0.05993112859438038']
['train loss: 0.059891583489353827']
['train loss: 0.05987187343480528']
